Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,India Captain,Opponent Captain,Toss Result,Powerplay Runs India,Powerplay Runs Opponent,Year
Zimbabwe,India,Zimbabwe,13 runs,Harare,"Jul 6, 2024",/series/zimbabwe-vs-india-2024-1420218/zimbabwe-vs-india-1st-t20i-1420223/full-scorecard,Shubman Gill,Sikandar Raza,"India, elected to field first",28/4,40/2,2024
India,South Africa,India,7 runs,Bridgetown,"Jun 29, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard,Rohit Sharma,Aiden Markram,"India, elected to bat first",42/2,45/3,2024
England,India,India,68 runs,Providence,"Jun 27, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard,Rohit Sharma,Jos Buttler,"England, elected to field first",39/3,46/2,2024
Australia,India,India,24 runs,Gros Islet,"Jun 24, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-india-51st-match-super-eights-group-1-1415751/full-scorecard,Rohit Sharma,Mitchell Marsh,"Australia, elected to field first",65/1,60/1,2024
Bangladesh,India,India,50 runs,North Sound,"Jun 22, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-india-47th-match-super-eights-group-1-1415747/full-scorecard,Rohit Sharma,Najmul Hossain Shanto,"Bangladesh, elected to field first",42/1,53/1,2024
Afghanistan,India,India,47 runs,Bridgetown,"Jun 20, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-india-43rd-match-super-eights-group-1-1415743/full-scorecard,Rohit Sharma,Rashid Khan,"India, elected to bat first",35/3,47/1,2024
U.S.A.,India,India,7 wickets,New York,"Jun 12, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/united-states-of-america-vs-india-25th-match-group-a-1415725/full-scorecard,Rohit Sharma,Aaron Jones,"India, elected to field first",33/2,18/2,2024
India,Pakistan,India,6 runs,New York,"Jun 9, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-pakistan-19th-match-group-a-1415719/full-scorecard,Rohit Sharma,Babar Azam,"Pakistan, elected to field first",35/1,50/2,2024
India,Ireland,India,8 wickets,New York,"Jun 5, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-ireland-8th-match-group-a-1415708/full-scorecard,Rohit Sharma,Paul Stirling,"India, elected to field first",39/1,26/2,2024
India,Afghanistan,India,6 wickets,Indore,"Jan 14, 2024",/series/afghanistan-in-india-2023-24-1389384/india-vs-afghanistan-2nd-t20i-1389397/full-scorecard,Rohit Sharma,Ibrahim Zadran,"India, elected to field first",69/2,58/2,2024
India,Afghanistan,India,6 wickets,Mohali,"Jan 11, 2024",/series/afghanistan-in-india-2023-24-1389384/india-vs-afghanistan-1st-t20i-1389396/full-scorecard,Rohit Sharma,Ibrahim Zadran,"India, elected to field first",36/2,33/0,2024
